"","genes","PPEE","PPDE","PostFC","RealFC","Direction","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"1911","gene-ACX60_RS09715_ACX60_RS09715",0.938945407127833,0.0610545928721668,1.10062716306637,1.10087950132204,"D Over L",66.7196124053429,67.6650321289031,490.547404179921,201.311875551815,257.365510023765,229.300522958074
"1912","gene-ACX60_RS09720_ACX60_RS09720",0.951666685520703,0.0483333144792971,1.06272387499817,1.0628358430196,"D Over L",98.2052721921339,75.8668542051338,703.828884258148,279.059910247688,321.370021678889,332.636613896417
"1913","gene-ACX60_RS09725_ybaK",0.916302149739181,0.0836978502608192,0.837273445643534,0.836238008186459,"D Over L",119.195712049995,66.6398043693743,60.4297526888309,68.0295303588891,76.8054139861496,61.0965209197501
"1914","gene-ACX60_RS09730_ACX60_RS09730",0.952846247343033,0.0471537526569669,0.919621950599648,0.919247615378174,"D Over L",98.9549307584861,148.658025131681,88.8672833659277,120.787125331089,76.1316822845168,112.387427370898
"1915","gene-ACX60_RS09735_ACX60_RS09735",0.445870126916918,0.554129873083082,0.822373198684109,0.82228644445782,"D Over L",1139.48102085529,1130.82621876031,938.438512344197,1053.76354168157,744.473530304345,840.265732155575
"1916","gene-ACX60_RS09740_ACX60_RS09740",0.378917117640052,0.621082882359948,0.726896795639886,0.725788154676432,"D Over L",146.183420438673,152.758936169796,87.0899376986092,116.62205204381,76.8054139861496,86.7419741453242
"1917","gene-ACX60_RS09745_ACX60_RS09745",0.90951796122955,0.09048203877045,0.873363041045802,0.872786408252384,"D Over L",118.446053483642,133.279608738749,92.4219747005648,118.010409806236,83.5427310024786,98.810422722065
"1918","gene-ACX60_RS09750_ACX60_RS09750",0.144731461144003,0.855268538855997,0.592855089195927,0.591751072734205,"D Over L",182.167031623577,262.458306439382,133.300925048892,140.224134005057,91.6275114220733,110.124593262759
"1919","gene-ACX60_RS09755_ACX60_RS09755",0.971670205045173,0.0283297949548274,0.91437759595547,0.914040562928797,"D Over L",154.429664668546,128.153469941104,115.527468375706,90.2432545577101,140.136193939641,133.507212380195
"1920","gene-ACX60_RS09760_ACX60_RS09760",0.959432729913744,0.0405672700862565,1.09726518015041,1.09728629973541,"D Over L",1957.35851674551,2363.14998571397,2897.07343772924,2736.45314974225,2593.86705128663,2589.43649774694
"1921","gene-ACX60_RS09765_ACX60_RS09765",NA,NA,1.34377097781712,1.3438035949446,"D Over L",4584.1621332435,5366.04209337393,6567.29224074206,7420.77224016862,7173.89515898703,7601.61404727459
"1922","gene-ACX60_RS09770_ACX60_RS09770",0.973209198509132,0.0267908014908681,0.960697965213341,0.960612166312527,"D Over L",249.636302595272,272.71058403467,195.508023405041,162.437858203878,291.052095105409,236.089025282491
"1923","gene-ACX60_RS09775_ACX60_RS09775",0.0637645785686445,0.936235421431356,1.31705978077168,1.3179176482518,"D Over L",152.18068896949,210.171690703411,216.836171412864,224.913957513062,266.124022144992,272.294371012713
"1924","gene-ACX60_RS09780_ACX60_RS09780",0.848337664915515,0.151662335084485,1.2118339778523,1.2120219768907,"D Over L",670.94441688519,467.503858345149,627.40302056345,640.032928478528,788.939822612116,711.284187991659
"1925","gene-ACX60_RS09785_ACX60_RS09785",NA,NA,1.17475379712397,1.17480603617026,"D Over L",1694.97801852225,1608.58235470074,1939.08412304454,1992.29338908175,2112.14888461912,2054.65337019011
"1926","gene-ACX60_RS09790_iscU",0.964222843780481,0.0357771562195189,1.12791458960108,1.12801530798391,"D Over L",543.502460605321,821.207435382597,625.625674896131,783.033778008438,704.049628206372,758.049426226529
"1927","gene-ACX60_RS09795_iscA",NA,NA,1.42357533760699,1.4242222372641,"D Over L",318.604890699671,394.712687418602,312.812837448066,453.992988313403,500.582654313238,506.874840223112
"1928","gene-ACX60_RS09800_hscB",0.736125876261162,0.263874123738839,1.1814508653701,1.1820398065537,"D Over L",149.931713270433,164.036441524614,168.847838395263,154.10771162932,206.161900699665,210.443572056917
"1929","gene-ACX60_RS09805_hscA",NA,NA,1.45414048233007,1.45446213045478,"D Over L",592.979925984564,711.508065113012,908.223635999781,889.937325715264,1161.51345361511,1166.86812176362
"1930","gene-ACX60_RS09810_fdx",0.730565469311754,0.269434530688246,1.25479461588392,1.25571565658579,"D Over L",134.188883377038,132.25438097922,167.070492727944,151.330996104468,169.780388811489,223.266298669704
"1931","gene-ACX60_RS09815_ACX60_RS09815",0.937282372001391,0.0627176279986089,0.857564014172786,0.857440278818216,"D Over L",521.012703614756,652.044855060339,630.957711898087,537.294454058982,445.336654779341,564.199970962631
"1932","gene-ACX60_RS09820_ACX60_RS09820",0.90334324286497,0.0966567571350299,1.13863159341751,1.1387411480823,"D Over L",656.700904124498,677.67554904856,648.731168571272,658.08157939007,728.977701166789,871.191131633474
"1933","gene-ACX60_RS09825_mfd",0.982078227227974,0.0179217727720257,1.0538683435599,1.05389534735074,"D Over L",765.401396245563,1251.80309438471,1109.06369640678,1263.40556380794,1021.37725967546,1009.97829026599
"1934","gene-ACX60_RS09830_ACX60_RS09830",0.984061931573672,0.0159380684263276,1.04080457343426,1.04147406062178,"D Over L",23.2394155569172,42.0343381406823,30.2148763444154,29.1555130109525,30.3179265734801,39.9767359104538
