"","genes","PPEE","PPDE","PostFC","RealFC","Direction","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"262","gene-ACX60_RS01335_ACX60_RS01335",0.0307817151850061,0.969218284814994,2.474425136343,2.47460079232627,"D Over L",3584.33746133686,6508.16087549968,3112.06933350204,14170.2509605153,11025.3560847873,7480.47081206687
"266","gene-ACX60_RS01355_ACX60_RS01355",5.295763827462e-14,0.999999999999947,0.272853230664519,0.272437368920018,"D Over L",907.584327651603,1061.73634692398,781.319398453499,277.707836975361,340.274232005929,131.373248481786
"271","gene-ACX60_RS01380_ACX60_RS01380",0.0372159631486246,0.962784036851375,0.414569971422082,0.414164183213149,"D Over L",603.839291205049,1021.53034220176,644.156695213938,315.847969092149,362.645202276215,261.44577173108
"285","gene-ACX60_RS01450_ACX60_RS01450",7.65950591841147e-09,0.999999992340494,2.89812048796714,2.90105824790093,"D Over L",430.792239191026,244.214250905376,341.382728062907,899.868742130462,818.306544097304,1230.48606993832
"290","gene-ACX60_RS01475_ACX60_RS01475",3.07887049189048e-12,0.999999999996921,2.07217757012343,2.07943652975431,"D Over L",83.2378224877576,87.113010231491,61.9772214638016,182.357506683392,146.000016500814,154.786302666659
"311","gene-ACX60_RS01580_ACX60_RS01580",1.09841691298129e-10,0.999999999890158,0.330664556219594,0.330587695359076,"D Over L",4121.73252581923,4367.56340186262,5210.15068305533,1840.26137463501,2012.20990483783,676.377120896326
"312","gene-ACX60_RS01585_ACX60_RS01585",0,1,0.354167592538768,0.353997619757435,"D Over L",1855.32725387186,2070.60924319467,2051.34442844943,840.274785697981,910.145264154267,365.503790330515
"313","gene-ACX60_RS01590_ACX60_RS01590",0,1,0.2421899477751,0.241325391732373,"D Over L",454.157241994607,481.727501023715,442.984730462582,126.33918763686,153.064533428273,53.3297345322103
"317","gene-ACX60_RS01610_ACX60_RS01610",4.36427460837052e-09,0.999999995635725,5.65111933549479,5.75435170984518,"D Over L",18.9840647779096,30.5267813631721,21.3364205039317,125.14730850821,95.370978520693,187.304433478983
"334","gene-ACX60_RS01695_ACX60_RS01695",0,1,2.37712308605427,2.38350560957895,"D Over L",143.840798509546,87.8575658744952,107.698122543655,289.626628261857,269.629062731342,249.739244638643
"338","gene-ACX60_RS01715_ACX60_RS01715",0,1,0.148864330888101,0.148237656774935,"D Over L",667.362892577285,713.28430599802,755.918897853581,137.066099794706,135.403241109626,44.2246579047598
"346","gene-ACX60_RS01755_ACX60_RS01755",2.28467271323751e-07,0.999999771532729,0.488842505843489,0.486422542334319,"D Over L",114.63454500507,110.938790807625,106.682102519659,71.5127477189771,58.8709743954895,31.2174055798304
"347","gene-ACX60_RS01760_ACX60_RS01760",0.00012252117198519,0.999877478828015,2.20607085246582,2.20677503190815,"D Over L",1093.04403740503,431.842272942434,1169.43904762026,1749.67856085764,2012.20990483783,2183.91766535564
"349","gene-ACX60_RS01770_ACX60_RS01770",8.45209781530354e-06,0.999991547902185,0.443783532877691,0.443555237179863,"D Over L",1290.18624856024,1074.39379285506,1468.1489346753,632.887817312948,702.919434282144,364.203065098022
"358","gene-ACX60_RS01815_ACX60_RS01815",5.79389516697226e-05,0.99994206104833,2.06402177616341,2.06409617522588,"D Over L",6426.10592732241,10336.6659918273,5735.43303546164,16413.3674806339,16651.0663980202,13374.0568404924
"360","gene-ACX60_RS01825_astA",0.00550544886958415,0.994494551130416,2.61047494213302,2.61120819726284,"D Over L",1379.2653217489,1002.91645112665,1072.91714534057,3765.14616740415,3508.71007397117,1748.1747124705
"361","gene-ACX60_RS01830_astD",0.0304244727777954,0.969575527222205,2.54716188904826,2.54749752740331,"D Over L",2904.56191102017,2019.23490382738,2327.70187497655,7313.37033339406,7766.25894225297,3393.59213157407
"362","gene-ACX60_RS01835_astB",0.0036954230914934,0.996304576908507,2.7138951781823,2.71434441903861,"D Over L",2440.182480299,1612.70752274709,1948.72640602576,6316.95938184298,6785.46850882412,3188.07754484018
"363","gene-ACX60_RS01840_astE",0.00261783590784848,0.997382164092152,2.82580016772545,2.8267056670655,"D Over L",1301.86874996203,678.290190776823,1191.79148814819,3593.5155728786,3632.3391202017,1740.37036107555
"366","gene-ACX60_RS01855_ACX60_RS01855",3.55753907884671e-05,0.999964424609212,0.442713865040821,0.44186935062264,"D Over L",296.443473070435,393.125379506216,348.494868230885,179.973748426092,195.451634993025,83.2464148795478
"367","gene-ACX60_RS01860_ACX60_RS01860",8.81850148459762e-13,0.999999999999118,0.250610090067878,0.249850848192228,"D Over L",436.633489891921,586.709846687307,529.346432502306,164.479319753647,176.612923186468,46.8261083697457
"368","gene-ACX60_RS01865_ACX60_RS01865",0.000119653293636945,0.999880346706363,0.380293426799536,0.378948014414345,"D Over L",194.95174214238,291.865812057645,237.748685615239,116.804154607663,108.322592887701,49.4275588347315
"369","gene-ACX60_RS01870_ACX60_RS01870",0.00331132835968506,0.996688671640315,2.05831768198865,2.07386912849374,"D Over L",27.7459408292525,52.863450653298,26.4165206239155,85.8152972627725,65.9354913229482,70.2391625546185
"373","gene-ACX60_RS01890_ACX60_RS01890",0.000855634531268024,0.999144365468732,8.15697929077556,8.19930455779416,"D Over L",86.8886041758172,96.7922335905455,82.2976219437366,456.489706272804,486.274248506743,1238.29042133327
"385","gene-ACX60_RS01950_hemF",0,1,0.214959187967699,0.214914439328656,"D Over L",7787.11734063101,10507.1692340752,9303.69535973822,1829.53446247716,2728.08095348698,1373.56584551254
"389","gene-ACX60_RS01970_ACX60_RS01970",0.0235474369624213,0.976452563037579,2.7363464642813,2.73657598622957,"D Over L",3788.05107953058,4643.04898977417,3469.7083819489,7788.93010572526,9081.43651024821,15697.1521057247
