"","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS00190_dapB",938.367179497097,827.019217835569,1103.56489657265,1172.17327328986,1145.63060889059,1120.33507184452
"gene-ACX60_RS00195_ACX60_RS00195",418.552267113813,285.92114222568,310.988497423854,308.320458140223,328.863374787417,254.827223609319
"gene-ACX60_RS00200_ACX60_RS00200",405.050581077884,184.465253048826,163.49109578854,191.658663168247,200.148406376768,142.492145746039
"gene-ACX60_RS00205_dkgB",290.286249772483,87.108591717501,88.8538564068154,104.162316939265,90.9765483530764,97.2565439218997
"gene-ACX60_RS00210_ACX60_RS00210",103.512926275459,83.0093638719716,97.739242047497,91.6628389065529,126.693267336136,82.9319366775889
"gene-ACX60_RS00215_ACX60_RS00215",7.50093668662748,11.272876575206,10.6624627688179,6.94415446261764,17.5214093124444,12.0628271531038
"gene-ACX60_RS00220_ACX60_RS00220",125.265642666679,102.480696138237,97.739242047497,87.4963462289823,120.628164112598,105.549737589659
"gene-ACX60_RS00225_ACX60_RS00225",3315.41401548934,2713.6888337405,1762.86051111122,2247.12838410307,901.004778874542,1215.32983567521
"gene-ACX60_RS00230_ACX60_RS00230",294.036718115797,203.936585315091,181.261867069903,204.158141200959,232.495623568973,203.560208208627
"gene-ACX60_RS00235_ACX60_RS00235",24.0029973972079,11.272876575206,30.2103111783172,37.4984340981353,44.4774236392818,27.8952877915526
"gene-ACX60_RS00240_ACX60_RS00240",105.763207281447,125.026449288649,174.153558557358,147.216074607494,188.018199929691,156.81675299035
"gene-ACX60_RS00245_mutY",111.763956630749,100.431082215472,138.612015994632,138.883089252353,132.758370559675,150.785339413798
"gene-ACX60_RS00250_ACX60_RS00250",1142.39265737336,1628.41826163658,2107.61347396966,1915.19780078995,1892.98610610216,1965.48689925886
"gene-ACX60_RS00255_ACX60_RS00255",1746.96815431554,2259.69934984811,2617.63460974478,2731.83036559378,1444.16846756032,1927.79056440541
"gene-ACX60_RS00260_ACX60_RS00260",1466.43312223567,2133.64809359808,1028.92765719092,1170.78444239733,240.582427867024,514.93193409812
"gene-ACX60_RS00265_ACX60_RS00265",101.262645269471,109.654344867913,103.070473431906,149.993736392541,160.388285244683,171.141360234661
"gene-ACX60_RS00270_ACX60_RS00270",440.304983505033,676.372594512361,392.734045318124,366.651355626212,219.691516763725,237.486909576732
"gene-ACX60_RS00275_ACX60_RS00275",519.064818714621,677.397401473743,653.964383154162,604.141438247735,640.879240620561,597.10994407864
"gene-ACX60_RS00280_ACX60_RS00280",153.769202075863,244.928863770385,113.732936200724,201.380479415912,202.170107451281,176.418847114144
"gene-ACX60_RS00285_ACX60_RS00285",94.5118022515062,171.142762550855,138.612015994632,148.604905500018,134.106171276016,131.183245290004
"gene-ACX60_RS00290_ACX60_RS00290",2304.28775013196,1916.38901778502,2448.81228257183,2438.78704727132,2172.6547547431,2415.58113740904
"gene-ACX60_RS00295_ACX60_RS00295",1710.21356455106,1615.09577113861,1547.83417860672,1415.21867948148,1622.75206247562,1366.11517508901
"gene-ACX60_RS00300_dapA",3262.90745868295,2137.74732144361,2070.2948542788,1840.20093259368,2987.40028777176,2229.361243233
"gene-ACX60_RS00305_pncA",258.782315688648,194.713322662649,232.797103785856,206.935802986006,269.560143268375,248.041883335698
"gene-ACX60_RS00310_ACX60_RS00310",210.776320894232,232.631180233797,243.459566554674,299.987472785082,241.930228583366,269.905757550699
"gene-ACX60_RS00315_ACX60_RS00315",97.5121769261572,46.1163132622064,51.5352367159529,47.2202503458,72.7812386824612,65.5916226450021
"gene-ACX60_RS00320_ACX60_RS00320",84.0104908902277,31.7690158028533,53.3123138440893,47.2202503458,60.6510322353843,65.5916226450021
"gene-ACX60_RS00325_hppD",1465.68302856701,608.735335061125,13926.9534532043,10702.3308577863,16406.1042196715,12422.4501876058
"gene-ACX60_RS00330_ACX60_RS00330",242.280254978068,264.40019603665,517.129444287666,398.594466154253,545.185389760288,470.45025897105
"gene-ACX60_RS00335_ACX60_RS00335",628.578494339383,318.714964989916,5540.92648552901,4260.93317826218,5273.94420304575,4326.78531447894
"gene-ACX60_RS00340_maiA",432.804046818405,160.894692937031,3795.83674569916,2813.77138825267,3732.73408390882,2852.85862170906
"gene-ACX60_RS00345_fahA",2201.52491752516,570.817477489977,15163.7991343871,12300.8752150809,19135.4006702637,14887.7904870214
"gene-ACX60_RS00350_ACX60_RS00350",546.06819078648,290.020370071209,7232.70391151478,5659.48588703338,12509.6123487271,9325.31931604634
"gene-ACX60_RS00355_ACX60_RS00355",30.7538404151727,24.5953670731768,26.6561569220446,29.1654487429941,35.0428186248887,27.1413610944836
"gene-ACX60_RS00360_zigA",40.5050581077884,35.8682436483828,24.8790797939083,23.6101251729,39.7601211320853,30.1570678827596
"gene-ACX60_RS00365_ACX60_RS00365",576.07193753299,363.80647129074,497.581595878166,419.426929542106,319.428769773024,398.073296052427
"gene-ACX60_RS00370_hutC",116.264518642726,35.8682436483828,42.6498510752714,62.4973901635588,90.9765483530764,82.1780099805199
"gene-ACX60_RS00375_ACX60_RS00375",34.5043087584864,23.5705601117944,15.9936941532268,26.387786957947,35.7167189830596,42.9738217329324
"gene-ACX60_RS00380_hutU",8173.0206137493,3931.15950386275,3927.34045318124,2344.34654657972,19093.6188480571,12859.7276719058
"gene-ACX60_RS00385_hutH",3518.68939969695,2636.82831163683,3092.11420295718,1747.1492627946,13447.681647301,9799.53920850274
"gene-ACX60_RS00390_ACX60_RS00390",1312.66392015981,1223.61951189054,1636.68803501354,734.691542144947,6470.79123915733,4663.0366213717
"gene-ACX60_RS00395_hutI",1226.40314826359,1191.85049608769,1732.6501999329,926.350205313193,7284.86287182783,4614.03138606222
"gene-ACX60_RS00400_hutG",510.813788359331,433.49334466474,774.805627867431,273.599685827135,3234.7217192205,2081.59161060748
"gene-ACX60_RS00405_ACX60_RS00405",91.5114275768552,104.530310061001,104.847550560042,131.938934789735,207.561310316648,131.937171987073
"gene-ACX60_RS00410_ACX60_RS00410",57.7572124870316,89.1582056402658,97.739242047497,108.328809616835,121.97596482894,94.2408371336238
"gene-ACX60_RS00415_murI",112.514050299412,167.043534705325,207.918023991948,173.603861565441,202.170107451281,174.910993720006
"gene-ACX60_RS00420_ACX60_RS00420",97.5121769261572,108.629537906531,95.9621649193607,80.5521917663646,62.6727333098971,71.6230362215541
