"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS00320_ACX60_RS00320",57.0924542938928,-0.0327874900320397,0.431839209769517,-0.0759252270064572,0.939478586535425,0.988522574883362,84.0104908902277,31.7690158028533,53.3123138440893,47.2202503458,60.6510322353843,65.5916226450021
"gene-ACX60_RS00325_hppD",9255.37618031598,-1.30490144255657,1.19561898942828,-1.0914024066986,0.275095853887631,0.681391972649624,1465.68302856701,608.735335061125,13926.9534532043,10702.3308577863,16406.1042196715,12422.4501876058
"gene-ACX60_RS00330_ACX60_RS00330",406.340001697996,-0.473942094370105,0.367423949758929,-1.2899052842937,0.197083545827453,0.600898020005851,242.280254978068,264.40019603665,517.129444287666,398.594466154253,545.185389760288,470.45025897105
"gene-ACX60_RS00335_ACX60_RS00335",3391.6471067742,-1.09553614431905,1.12717041304363,-0.971934794988836,NA,NA,628.578494339383,318.714964989916,5540.92648552901,4260.93317826218,5273.94420304575,4326.78531447894
"gene-ACX60_RS00340_maiA",2298.14992988752,-1.09894967135178,1.18497781582375,-0.927401050616153,NA,NA,432.804046818405,160.894692937031,3795.83674569916,2813.77138825267,3732.73408390882,2852.85862170906
"gene-ACX60_RS00345_fahA",10710.0346502947,-1.36899217488063,1.17863156426996,-1.16150985293575,0.245434618629654,0.655736905301314,2201.52491752516,570.817477489977,15163.7991343871,12300.8752150809,19135.4006702637,14887.7904870214
"gene-ACX60_RS00350_ACX60_RS00350",5927.20167069655,-1.76893851718473,1.27867186163279,-1.38341866296009,0.166536531303306,0.568081608198141,546.06819078648,290.020370071209,7232.70391151478,5659.48588703338,12509.6123487271,9325.31931604634
"gene-ACX60_RS00355_ACX60_RS00355",28.8924988121267,-0.152951501616609,0.392825309402124,-0.389362645317836,0.69700790081671,0.912614260549751,30.7538404151727,24.5953670731768,26.6561569220446,29.1654487429941,35.0428186248887,27.1413610944836
"gene-ACX60_RS00360_zigA",32.4632826229707,0.120079201480622,0.412802640932763,0.290887677485039,0.771137225948807,0.936733170127649,40.5050581077884,35.8682436483828,24.8790797939083,23.6101251729,39.7601211320853,30.1570678827596
"gene-ACX60_RS00365_ACX60_RS00365",429.064833344909,0.340539696259773,0.288696274275628,1.17957773135184,0.23816820407569,0.650145725911337,576.07193753299,363.80647129074,497.581595878166,419.426929542106,319.428769773024,398.073296052427
"gene-ACX60_RS00370_hutC",71.7390936439225,-0.260385354511564,0.493862789489724,-0.527242303030368,0.59802533537036,0.864327530500652,116.264518642726,35.8682436483828,42.6498510752714,62.4973901635588,90.9765483530764,82.1780099805199
"gene-ACX60_RS00375_ACX60_RS00375",29.8578151162411,-0.475844586144361,0.446400551038348,-1.06595877858467,0.286442276328669,0.690815474732771,34.5043087584864,23.5705601117944,15.9936941532268,26.387786957947,35.7167189830596,42.9738217329324
"gene-ACX60_RS00380_hutU",8388.20227288932,-1.09717064523327,0.627608575685432,-1.74817663068898,0.0804334468951682,0.416887097628839,8173.0206137493,3931.15950386275,3927.34045318124,2344.34654657972,19093.6188480571,12859.7276719058
"gene-ACX60_RS00385_hutH",5707.00033881489,-1.43454972804969,0.586892172373114,-2.44431566065884,0.0145127224651838,0.197690723528456,3518.68939969695,2636.82831163683,3092.11420295718,1747.1492627946,13447.681647301,9799.53920850274
"gene-ACX60_RS00390_ACX60_RS00390",2673.58181162298,-1.50843902256619,0.609791054709302,-2.47369818057644,0.013372261435563,0.191336391655341,1312.66392015981,1223.61951189054,1636.68803501354,734.691542144947,6470.79123915733,4663.0366213717
"gene-ACX60_RS00395_hutI",2829.3580512479,-1.62803613491938,0.592228655924633,-2.74899925667656,0.00597775217846234,0.134631975212521,1226.40314826359,1191.85049608769,1732.6501999329,926.350205313193,7284.86287182783,4614.03138606222
"gene-ACX60_RS00400_hutG",1218.17096275777,-1.70241454455029,0.666175093295451,-2.55550614498171,0.0106033488864259,0.179759771239568,510.813788359331,433.49334466474,774.805627867431,273.599685827135,3234.7217192205,2081.59161060748
"gene-ACX60_RS00405_ACX60_RS00405",128.721117548559,-0.657005422325294,0.317901136114442,-2.06669730833795,0.0387626849699207,0.30535752264448,91.5114275768552,104.530310061001,104.847550560042,131.938934789735,207.561310316648,131.937171987073
