"","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"gene-ACX60_RS00325_hppD",5481.94689786842,5308.61447095508,3706.87102595143,15482.2834404002,11233.4007379894,6820.7422436024
"gene-ACX60_RS00330_ACX60_RS00330",389.687609571068,291.403658310183,382.559643247657,641.024202780922,670.070764222242,496.101206598651
"gene-ACX60_RS00335_ACX60_RS00335",2727.08214577877,2678.52876717851,2166.48498231763,4350.14751738503,3675.37935876559,1149.34441842881
"gene-ACX60_RS00340_maiA",1962.32935101078,2160.56062772691,1453.1177961025,3321.887504374,2979.40076183176,1218.17521410873
"gene-ACX60_RS00345_fahA",6979.28315378126,11233.5737639626,5457.30971189893,15671.7311137128,13672.2698991568,8267.48764713878
"gene-ACX60_RS00350_ACX60_RS00350",3284.92763565255,2455.69067552955,2078.20198772202,10987.9650521295,7048.10812630952,4219.45764460476
"gene-ACX60_RS00355_ACX60_RS00355",28.5137275295903,33.5375054321183,28.412917800887,46.4682972276133,45.9275216250746,40.2595220014612
"gene-ACX60_RS00360_zigA",45.3295155598615,44.7166739094911,33.4866531224739,64.3407192382338,42.3946353462227,36.3634392271263
"gene-ACX60_RS00365_ACX60_RS00365",426.24367050644,615.599544153994,407.928319855591,376.512357023739,416.880580904523,462.335155887748
"gene-ACX60_RS00370_hutC",40.2116670289094,87.1975141235076,47.6931120229174,120.340974871511,87.14452821168,229.868883685762
"gene-ACX60_RS00375_ACX60_RS00375",19.740272905101,16.3961137668134,21.3096883506652,47.6597920283214,60.0590667404822,98.7007636164856
"gene-ACX60_RS00380_hutU",3076.55808832092,4074.43427105313,2982.34162202881,49128.9051175944,25234.2290610794,39481.6041408523
"gene-ACX60_RS00385_hutH",2019.35680606996,1867.66641361974,1783.92533906997,35456.5022794697,20354.1354812254,32188.1371872973
"gene-ACX60_RS00390_ACX60_RS00390",924.137220446209,755.711789070399,863.5497517341,19853.877864198,12206.1220934333,15649.2658102454
"gene-ACX60_RS00395_hutI",660.93358171153,710.995115160908,689.013256671509,12947.9739992942,10341.9357669591,13288.2396489984
