"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS03385_ACX60_RS03385",598.23977790792,2.06151363578128,0.489375708664049,4.2125377277287,2.52517520509358e-05,0.00650954093941624,1600.6998889263,915.152616514452,378.517428293034,274.988516719659,176.561893840785,243.518323153284
"gene-ACX60_RS03400_ACX60_RS03400",2572.15717400572,2.3483321360174,0.61985149178023,3.78853994409682,0.000151535231401876,0.0210717349849872,7331.4155175097,4126.89763348678,1439.43247379041,1498.54853303289,361.884492337793,674.764393876746
"gene-ACX60_RS03865_rpmA",1747.05043831887,-1.90280213245003,0.361863801973332,-5.25833786654976,1.45363265692292e-07,0.00026230801294174,610.576246291477,818.82076214451,783.691013508112,1837.42327080863,4094.61857624661,2337.17276091387
"gene-ACX60_RS04185_ACX60_RS04185",340.51887631797,1.19129023089443,0.328776811751616,3.62340100735092,0.000290754513112252,0.0269059753287722,504.062945341366,582.090354065183,332.31342296149,258.322546009376,165.77948811005,200.544501420351
"gene-ACX60_RS04205_ACX60_RS04205",60.725048633547,-1.46937857206853,0.357692482075653,-4.10793809123937,3.99207069808355e-05,0.00856954423032042,28.5035594091844,30.744208841471,39.0956968189988,68.0527137336529,91.6504487112474,106.303664286728
"gene-ACX60_RS05240_ACX60_RS05240",181.196576241311,1.21506996422771,0.389981359815705,3.11571292741253,0.00183500816120867,0.0859418962739347,362.295241964107,257.226547306974,138.612015994632,122.217118542071,105.802356232837,101.026177407245
"gene-ACX60_RS05515_ACX60_RS05515",173.461587922615,2.32579611452929,0.459400680710489,5.06267450655997,4.13415349350998e-07,0.000497338665269251,456.807044215613,263.375389075268,145.720324507177,77.7745299813176,45.8252243556237,51.2670154006913
"gene-ACX60_RS06055_ACX60_RS06055",58.1937602686536,1.62269717098608,0.420196278584001,3.86175997668119,0.000112573135723009,0.0169281852843476,125.265642666679,70.7116803353832,65.7518537410434,38.8872649906588,22.9126121778118,25.6335077003457
"gene-ACX60_RS06330_rpsU",907.490497276865,-1.11496776252379,0.280046881947695,-3.98136110200306,6.85217583425558e-05,0.0124133678449801,627.82840067072,493.9569553863,598.874992181936,1036.06784582255,1576.92683811999,1111.28795147969
"gene-ACX60_RS06395_ACX60_RS06395",138.879571114629,1.06569017362944,0.357200475823502,2.98345115910769,0.00285017520800709,0.0961334796794168,225.778194267487,205.986199237855,129.726630353951,115.272964079453,66.0422351007518,90.4712036482788
"gene-ACX60_RS06585_ACX60_RS06585",145.426201283994,1.50086269102706,0.404507730899397,3.71034365076284,0.000206978093388074,0.0219921594328042,318.039715513005,198.812550508179,126.172476097678,88.8851771215058,59.9771318772134,80.670156586382
"gene-ACX60_RS06655_ACX60_RS06655",2748.92759572543,2.17724136121701,0.656050154390162,3.31871175800711,0.000904337253964907,0.0553178499925313,8062.75684445588,3910.66336463511,1531.8404844535,1791.59185135535,328.189474429246,868.523555023477
"gene-ACX60_RS06700_rplI",6894.2751519977,-1.4838723860425,0.493622341446433,-3.00608838265787,0.00264632067175933,0.0918324163882635,1464.18284122968,4328.78460487911,5103.76551200748,5891.42064608481,13254.272244506,11323.2250632792
"gene-ACX60_RS06790_ACX60_RS06790",221.033419696405,-0.868433718865012,0.261401616156084,-3.32222015929108,0.000893042002242014,0.0553178499925313,131.266392015981,155.770658130119,184.816021326176,266.655531364517,295.16835687887,292.523558462768
"gene-ACX60_RS07095_ACX60_RS07095",166.549612260983,2.08393354552139,0.706387697689491,2.95012717851356,0.0031764314732239,0.0996847059727397,585.073061556943,167.043534705325,55.0893909722256,101.384655154218,42.455722564769,48.2513086124154
"gene-ACX60_RS08055_ACX60_RS08055",831.889919304646,1.76945701069288,0.524341103761028,3.3746296027544,0.000739151023238247,0.0493999267197562,1225.65305459493,2002.47280254114,629.085303360253,612.474423602876,184.648698138837,337.005233589839
"gene-ACX60_RS08160_ACX60_RS08160",176.310972405919,0.954003707244069,0.308950299100948,3.08788730750623,0.00201584898514606,0.0866095117546684,238.529786634754,282.846721341533,174.153558557358,144.438412822447,107.82405730735,110.073297772073
